사업장명,지번주소,도로명주소,도로명우편번호,소재지우편번호,좌표정보(X),좌표정보(Y),위도,경도
요리하는원숭이,서울특별시 광진구 중곡동 126-1 1층,"서울특별시 광진구 용마산로7길 21, 1층 (중곡동)",04923,143-890,207562.481208354,450777.356756072,37.5594436152006,127.08640195117358
숯불장어 어때,서울특별시 영등포구 당산동1가 9-1 당산동코오롱주.상복합아파트,"서울특별시 영등포구 영등포로28길 5, 1층 2~29, 32호 일부, 33~35호 (당산동1가, 당산동코오롱주.상복합아파트)",07292,150-800,191024.651979979,446421.72002587,37.5201825098838,126.89925865380864
미쳐버린 파닭(신촌점),서울특별시 마포구 노고산동 31-90 신촌르메이에르타운II,"서울특별시 마포구 백범로 13, 신촌르메이에르타운II 2층 208호 (노고산동)",04101,121-806,194407.018454163,450130.918973931,37.55363266546501,126.93749630851104
78도 광화문,서울특별시 중구 태평로1가 62-2,"서울특별시 중구 세종대로21길 58, 2층 (태평로1가)",04519,100-101,197825.009248969,451847.338754039,37.56911360891924,126.97617745470173
최고당돈까스(개봉점),서울특별시 구로구 개봉동 403-171,"서울특별시 구로구 개봉로 22, 1층 (개봉동)",08334,152-816,187244.557146336,442821.740894843,37.48769862306171,126.8565556089123
치킨앤카레군 홍대점,서울특별시 마포구 동교동 164-11,"서울특별시 마포구 어울마당로 125, 1층 (동교동)",04050,121-817,193204.659192399,450398.47086861,37.55603547757883,126.92388503869311
79파운야드 영등포포레나,서울특별시 영등포구 영등포동7가 208 포레나 영등포 센트럴,"서울특별시 영등포구 국회대로50길 20, 1층 121,122호 (영등포동7가, 포레나 영등포 센트럴)",07246,150-037,191586.660635006,446798.452967557,37.52358253777601,126.9056125392638
아이엠 꼬마김밥,서울특별시 은평구 응암동 61-4,"서울특별시 은평구 은평로 230, 나동 1층 1호 (응암동)",03472,122-905,194023.836830347,455396.725650871,37.60107992434463,126.93311636618103
졸리테일즈,서울특별시 강서구 화곡동 849-20 2층,"서울특별시 강서구 곰달래로 198, 2층 (화곡동)",07783,157-904,187117.73863626,447663.923398698,37.53132968168023,126.85503666885558
카페 봉봉,서울특별시 성북구 정릉동 1037 정릉꿈에그린 상가동 1층 103호,"서울특별시 성북구 아리랑로19가길 20, 상가동 1층 103호 (정릉동, 정릉꿈에그린)",02820,136-100,200889.298790497,455475.643504795,37.601810020423,127.01087194143281
거기시켜 덮밥&간식(송파점),서울특별시 송파구 석촌동 174-2 태문빌딩,"서울특별시 송파구 백제고분로 365, 태문빌딩 지하1층 105호 (석촌동)",05616,138-844,209328.877055075,444801.540394882,37.505579580402916,127.10632038526342
푸라닭대방점,서울특별시 영등포구 신길동 849,"서울특별시 영등포구 가마산로89길 8, 1층 (신길동)",07360,150-854,193011.417699301,444751.657997491,37.50515076982777,126.92175150120147
클라푸티,서울특별시 마포구 상수동 316-10 hada빌딩,"서울특별시 마포구 독막로 67-6, hada빌딩 1층 (상수동)",04049,121-829,192953.065062689,449545.077481744,37.548343714006926,126.92104549770335
(주)현대그린푸드 이노션본사점,서울특별시 강남구 역삼동 837-36 랜드마크타워,"서울특별시 강남구 강남대로 308, 랜드마크타워 지하1층 B109-1호 (역삼동)",06253,135-937,202741.810407842,443163.645142153,37.49086352040284,127.0318069644786
