사업장명,지번주소,도로명주소,도로명우편번호,소재지우편번호,좌표정보(X),좌표정보(Y),위도,경도
매취랑 동대문점,서울특별시 중구 을지로6가 18-137,"서울특별시 중구 장충단로 249-10, 2층 (을지로6가)",04564,100-851,200614.497822789,451667.793301393,37.56749810168001,127.00775643133176
BLUE BOX(블루박스),서울특별시 노원구 공릉동 334-3,서울특별시 노원구 공릉로 127 (공릉동),01837,139-802,206888.278816502,457681.129401558,37.62165796137516,127.0788353880464
치카바,서울특별시 송파구 가락동 84-6,"서울특별시 송파구 송이로20길 12-1, 1층 101호 (가락동)",05712,138-803,210536.379531854,443748.684430769,37.49607930028218,127.11996353057829
오고보,서울특별시 송파구 방이동 57 One57빌당,"서울특별시 송파구 올림픽로34길 27-23, One57빌딩 2층 201호 (방이동)",05547,138-828,209835.419891828,445884.536808795,37.51533319596562,127.11206444574387
또봉이통닭 가락본동점,서울특별시 송파구 가락동 46-11 문종빌딩,"서울특별시 송파구 오금로36길 64, 문종빌딩 1층 (가락동)",05706,138-801,210694.913956667,444077.25458923,37.499038226821156,127.12176128291298
대치동그집1981,서울특별시 강동구 성내동 537-3,"서울특별시 강동구 성내로5길 31, 1층 101호 (성내동)",05392,134-850,210879.251613939,447675.739670456,37.53146195576241,127.12389941858288
왔따쪽갈비,서울특별시 강동구 천호동 46-28,"서울특별시 강동구 천중로43길 55, 1층 102호 (천호동)",05315,134-861,212416.334313854,449042.643309731,37.54375963473095,127.14131467204292
서촌 곳간,서울특별시 종로구 필운동 146-1 아이에스빌딩 1층,"서울특별시 종로구 필운대로 6-1, 아이에스빌딩 1층 (필운동)",03041,110-044,197228.18297893,452706.97234696,37.57685808979361,126.96941767912502
컴플리트커피,서울특별시 중랑구 면목동 198-27,"서울특별시 중랑구 중랑천로 67, 1층 (면목동)",02118,131-823,206368.067800804,454321.062421746,37.59138463232615,127.07291283123882
복림문,서울특별시 중구 황학동 450,"서울특별시 중구 퇴계로87길 43-15, 1층 (황학동)",04576,100-869,201722.540160044,451689.215255174,37.56768972777359,127.02030009022023
카페 라,서울특별시 중구 장충동2가 202,"서울특별시 중구 동호로 249, 지하1층 (장충동2가)",04605,100-856,200463.625303538,450497.460903907,37.55695240601038,127.00604773709046
역전우동0410 숙대입구점,서울특별시 용산구 청파동3가 22-2,"서울특별시 용산구 청파로 277, 1층 (청파동3가)",04313,140-133,197323.765241203,449118.950056912,37.54452694886303,126.97051294524984
끼(KKI),서울특별시 용산구 용산동2가 1-510,"서울특별시 용산구 신흥로 97-6, 2층 (용산동2가)",04337,140-833,198593.055505142,449214.246833049,37.54538847456255,126.98487737005703
마라공방,서울특별시 구로구 고척동 76-153,"서울특별시 구로구 중앙로6길 50, 2층 (고척동)",08223,152-826,188132.565624313,444217.948267109,37.50029169476902,126.8665750754812
뮤지컬펍넘버스테이지,서울특별시 강남구 역삼동 817-18,"서울특별시 강남구 강남대로96길 15, 지하1층 (역삼동)",06129,135-931,202427.491136113,444209.275456205,37.50028660721563,127.02825579682674
차선책서울,서울특별시 강남구 신사동 657-41,"서울특별시 강남구 선릉로155길 14, 1층,2층 (신사동)",06018,135-897,203343.124013264,447034.668578334,37.525743374196665,127.03862477832172
아가젤라또(성수),서울특별시 성동구 성수동2가 316-31,"서울특별시 성동구 연무장길 41-19, 지1층 B101호 (성수동2가)",04782,133-835,204710.448654378,449014.347240596,37.54357622904022,127.05410765565114
단골손님 상봉점,서울특별시 중랑구 상봉동 89-1,"서울특별시 중랑구 망우로50길 15, 1층 101호 (상봉동)",02149,131-859,207807.657649212,454906.600906178,37.59664975885369,127.08922116113101
고기반햄반 김치찌개&김치찜,서울특별시 성동구 금호동3가 1302,"서울특별시 성동구 장터길 21-1, 1층 (금호동3가)",04724,133-807,201551.241518861,449578.294363659,37.54866865838482,127.01835643316285
향래원마라탕,서울특별시 동대문구 제기동 714-18,"서울특별시 동대문구 고산자로 511-1, 1층 (제기동)",02478,130-864,203309.519200543,453682.00124782,37.585642202011215,127.03827455024151
유유(uu),서울특별시 중랑구 면목동 91-1 103호,"서울특별시 중랑구 봉우재로 146, 103호 (면목동)",02155,131-817,207796.704807233,454535.408914871,37.593305088976,127.08909316907148
별관,서울특별시 성북구 동선동1가 85-38,"서울특별시 성북구 동소문로24길 31, 지하1층 (동선동1가)",02845,136-051,201604.411431914,454440.144465121,37.59247829703331,127.01896883157607
한성돼,서울특별시 성북구 동소문동2가 285,"서울특별시 성북구 동소문로2길 63, 1층 (동소문동2가)",02860,136-032,200764.987289261,454063.784728318,37.58908804245767,127.00946255034509
도쿄술집(성신여대점),서울특별시 성북구 동선동3가 1,"서울특별시 성북구 동소문로26가길 3, 지상1층 (동선동3가)",02845,136-053,201653.494954375,454684.553804488,37.594680553946866,127.01952521976321
현방오백소갈비살,서울특별시 도봉구 쌍문동 19-2,"서울특별시 도봉구 도당로2길 7, 1층 (쌍문동)",01393,132-858,203059.25895531,461896.491182226,37.659662495167154,127.03547515263261
더피자 은평점,서울특별시 은평구 대조동 211-10,"서울특별시 은평구 역말로9가길 15, 1층 (대조동)",03389,122-843,192889.101538864,456720.317606803,37.612998547601904,126.92025195856411
소담유부,서울특별시 성북구 하월곡동 21-78,"서울특별시 성북구 화랑로13길 28, 1층 (하월곡동)",02748,136-865,203663.461928421,455808.447873565,37.604802012472575,127.04229297337
토쿠이,서울특별시 마포구 연남동 224-18,"서울특별시 마포구 동교로 282, 지1층 (연남동)",03981,121-865,193450.339922795,451326.189406923,37.56439685947284,126.9266575591694
도시피자 상암점,서울특별시 서대문구 북가좌동 371-12 국제빌딩,"서울특별시 서대문구 수색로 144, 국제빌딩 지1층 105호 (북가좌동)",03714,120-816,191559.918118738,452563.291844785,37.57552889552989,126.90524368463407
몽란,서울특별시 성북구 동선동4가 122-4,"서울특별시 성북구 동소문로 129-1, 1~3층 (동선동4가)",02829,136-054,201580.715751086,454684.535654679,37.594680518278885,127.01870102216006
옥자 성수,서울특별시 성동구 성수동2가 273-13 태광산업,"서울특별시 성동구 연무장15길 11, 태광산업 가(C)동 2층 C202호 (성수동2가)",04783,133-831,205167.535545926,448920.682564138,37.542729772415214,127.05927979865999
전주밥차,서울특별시 마포구 염리동 168-9 재화스퀘어,"서울특별시 마포구 독막로 311, 재화스퀘어 지하1층 B113호 (염리동)",04156,121-874,195292.972627854,449083.060282147,37.544195416614095,126.94753062207074
하봉참치스시,서울특별시 마포구 공덕동 242-71 소담빌딩,"서울특별시 마포구 마포대로12길 36, 소담빌딩 2층 (공덕동)",04211,121-803,195923.907373498,449451.016170423,37.547514054840136,126.95466885834942
충당,서울특별시 마포구 합정동 388-10,"서울특별시 마포구 월드컵로3길 31-8, 2층 (합정동)",04025,121-885,192056.110506184,449755.735416763,37.55023464707388,126.91089184139017
중국집입니다,서울특별시 강남구 삼성동 8-2 브라운스톤 레전드,"서울특별시 강남구 선릉로 660, 지하1층 B110호,B111호 키친42강남구청점 10호 (삼성동, 브라운스톤 레전드)",06088,135-864,203675.905036013,445926.119732235,37.515752984155725,127.04238438476789
봉구스 밥버거,서울특별시 강서구 등촌동 510-12 1층,"서울특별시 강서구 등촌로51길 9, 1층 (등촌동)",07668,157-836,187805.358954027,449620.603490632,37.54897055137459,126.86278460496197
모루야,서울특별시 강서구 마곡동 799-3 문영 퀸즈파크12차,"서울특별시 강서구 공항대로 194, 문영 퀸즈파크12차 1층 111호 (마곡동)",07631,157-210,184825.676320005,450763.336622561,37.559223376346566,126.82903791872582
브리즈커피,서울특별시 구로구 구로동 685-216,"서울특별시 구로구 구일로4길 29, 1층 (구로동)",08324,152-868,188953.508733624,443287.8318629,37.4919205915891,126.87587417664491
불타는 포차,서울특별시 구로구 신도림동 292-45,"서울특별시 구로구 신도림로11다길 6, 1층 (신도림동)",08205,152-886,189162.246074747,445221.889843094,37.5093508680415,126.87820631191853
힘내 커피,서울특별시 영등포구 당산동1가 77-3,"서울특별시 영등포구 영신로37길 13-1, 1층 (당산동1가)",07267,150-800,191057.124646878,446561.399943347,37.52144147804123,126.899624328724
김밥오리진(Origin),서울특별시 영등포구 여의도동 44-5,"서울특별시 영등포구 여의대방로69길 19, 1층 110호 (여의도동)",07333,150-890,193781.852246267,446488.190917868,37.520804176077284,126.93045126525514
네오,서울특별시 관악구 신림동 706-25,"서울특별시 관악구 난곡로35길 7, 1층 (신림동)",08858,151-881,192709.023153285,441173.863995177,37.472908812152504,126.91836652735617
두레유,서울특별시 종로구 평창동 193-1 전진빌딩,"서울특별시 종로구 평창문화로 84, 전진빌딩 2층 (평창동)",03011,110-847,197332.885550763,456018.751573648,37.60670045820903,126.97059105426534
스타주점,서울특별시 관악구 봉천동 871-73,"서울특별시 관악구 봉천로 459, 지1층 (봉천동)",08745,151-822,195606.1423178,442265.29751879,37.482762091512306,126.9511155016399
카츠오도 낙성대점,서울특별시 관악구 봉천동 1644-6,"서울특별시 관악구 인헌3길 5, 1층 104호 (봉천동)",08795,151-814,197033.003298433,441363.391202842,37.4746406459186,126.9672536716422
돌쇠 솥뚜껑,서울특별시 성북구 장위동 76-191,"서울특별시 성북구 장월로26길 7, 지층 및 1층 (장위동)",02766,136-827,204410.688317294,457224.722187291,37.61756057246164,127.05076471703448
구룡관 혜화본점,서울특별시 종로구 명륜2가 21-14,"서울특별시 종로구 창경궁로 258-5, 지상 1층 (명륜2가)",03077,110-522,199972.250210331,453524.442402278,37.584228403746415,127.00048578782108
두번먹는 명인김치찜,서울특별시 서초구 방배동 864-37 지하1층,"서울특별시 서초구 도구로 119-2, 지하1층 (방배동)",06569,137-838,198677.25337663,442781.291554296,37.48742123814675,126.98584182644431
삼호령 김치찜,서울특별시 서초구 방배동 864-37 지하1층,"서울특별시 서초구 도구로 119-2, 지하1층 (방배동)",06569,137-838,198677.25337663,442781.291554296,37.48742123814675,126.98584182644431
마당재 한우국밥,서울특별시 서초구 서초동 1357-70 대원빌딩,"서울특별시 서초구 강남대로43길 12, 1층 (서초동)",06729,137-862,202721.790229726,442832.591039646,37.48788043771896,127.03157933350049
호앙비엣 강남역점,서울특별시 강남구 역삼동 617-4,"서울특별시 강남구 강남대로102길 31, 지상1층 1호,2호 (역삼동)",06124,135-907,202382.762147792,444543.388482475,37.50329742345804,127.02775097809929
히노노리 갤러리아백화점점,서울특별시 강남구 압구정동 494 갤러리아백화점,"서울특별시 강남구 압구정로 343, 갤러리아백화점 지하1층 (압구정동)",06008,135-902,203470.848439305,447369.579851952,37.528760781941436,127.04007145995863
밀회관 역삼점,서울특별시 강남구 역삼동 677 서울철강빌딩,"서울특별시 강남구 테헤란로33길 18, 서울철강빌딩 지상1층 (역삼동)",06142,135-915,203407.393009297,444533.718771768,37.50320707694708,127.03934033977797
파스타 파는 남자,서울특별시 강남구 역삼동 661,"서울특별시 강남구 언주로103길 27, 지하1층 (역삼동)",06137,135-913,203280.450353754,444884.695313788,37.506370191997874,127.03790608237703
신명떡볶이 암사본점,서울특별시 강동구 암사동 455-43 햇살담은채,"서울특별시 강동구 고덕로24길 32, 1층 101호 (암사동, 햇살담은채)",05254,134-858,211894.569145406,450118.623756386,37.55346209397899,127.13542734913963
오육 석관점,서울특별시 성북구 석관동 65-36,"서울특별시 성북구 한천로71길 13-5, 1층 (석관동)",02784,136-816,205522.847804041,456303.894848831,37.60925713125511,127.0633564133629
매우당 천호점,서울특별시 강동구 성내동 226-28,"서울특별시 강동구 풍성로37가길 30, 1층 (성내동)",05388,134-842,211236.134779636,447863.441969186,37.53314905440648,127.12794043629813
파스타에 반하다 & 볶음밥도사 은평구점,서울특별시 은평구 대조동 171-6 명진하이빌,"서울특별시 은평구 연서로18길 34, 1층 101호 (대조동, 명진하이빌)",03393,122-841,192974.27382546,456617.128146224,37.61206937791513,126.92121772973465
착한돈까스 훔친고기,서울특별시 강동구 고덕동 210-1 고덕센트럴푸르지오,"서울특별시 강동구 고덕로 399, 메가스퀘어동 B126호 (고덕동, 고덕센트럴푸르지오)",05222,134-801,214956.131343654,450617.923583608,37.55791664153775,127.17008935141367
순수순 부대찌개&닭갈비,서울특별시 영등포구 여의도동 12-1 삼도오피스텔,"서울특별시 영등포구 은행로 58, 지하층 105호, 106호 (여의도동, 삼도오피스텔)",07241,150-869,193289.310384283,447527.152620774,37.530162787442414,126.92486943110485
마장동고기집 답십리역점,서울특별시 동대문구 답십리동 70-19,"서울특별시 동대문구 전농로 96-1, 1층 (답십리동)",02538,130-883,205030.262510537,452367.931822965,37.573793460765174,127.05774994908889
돈카츠식탁,서울특별시 양천구 목동 750-4 목동프라자,"서울특별시 양천구 목동중앙본로 36, 목동프라자 1층 103호 (목동)",07975,158-816,188385.252127565,448602.31391206,37.53980229981078,126.86936376119637
서울브루어리 성수 탭룸,서울특별시 성동구 성수동2가 310-53,"서울특별시 성동구 연무장길 28-12, 2층 (성수동2가)",04781,133-827,204553.795077999,448979.490026691,37.54326291922997,127.05233460794193
육회바른연어 위례점,서울특별시 송파구 장지동 897 위례중앙푸르지오1단지,"서울특별시 송파구 위례광장로 120, 상가동 111호 (장지동, 위례중앙푸르지오1단지)",05852,138-926,212452.558599859,441411.906445707,37.474998699347914,127.14159540712578
영앤리치푸드,서울특별시 성북구 돈암동 609-1 한신한진아파트,"서울특별시 성북구 성북로4길 52, 제411동 제1층 3101호 (돈암동, 한신한진아파트)",02831,136-753,200841.726990037,454721.505180141,37.59501461880942,127.01033228997878
서촌 기와집,서울특별시 종로구 필운동 204-2번지 ,서울특별시 종로구 자하문로1길 35 (필운동),03041,110044,197302.296489158,452690.835506396,37.576712902306525,126.97025684645128
육주간,서울특별시 중구 회현동3가 11-3 세대빌딩,"서울특별시 중구 퇴계로 108, 세대빌딩 1층 (회현동3가)",04631,100-053,198492.730625257,450912.159237941,37.56068810994435,126.98373848885224
태화당.,서울특별시 광진구 구의동 248-12,"서울특별시 광진구 아차산로51길 98, 2층 (구의동)",05040,143-826,207494.428053056,448782.409092603,37.54146782019074,127.0856112665753
로컬팟,서울특별시 마포구 서교동 453-13,"서울특별시 마포구 월드컵북로7길 38, 1층 (서교동)",03999,121-841,192507.390746607,450612.687611164,37.55796036447478,126.91599063107547
드렁킨타이 목동점,서울특별시 양천구 목동 908-29 하이베라스 110호,"서울특별시 양천구 목동서로 37, 하이베라스 1층 110호 (목동)",07984,158-878,189473.530827695,448365.502006523,37.53768146519103,126.88168244349406
회가대표 초밥24,서울특별시 금천구 독산동 1156 금천롯데캐슬골드파크4차,"서울특별시 금천구 시흥대로 315, 금천롯데캐슬골드파크4차 104호 (독산동)",08608,153-010,190799.832998673,439885.941303087,37.461286232280365,126.89679688929682
무의도바다손칼국수,서울특별시 영등포구 대림동 856-8,"서울특별시 영등포구 디지털로 407, 1층 (대림동)",07429,150-818,191410.5801213,443428.370177829,37.493213100457496,126.90365974942968
치카라 돈이찌,서울특별시 강남구 압구정동 494 갤러리아백화점,"서울특별시 강남구 압구정로 343, 갤러리아백화점 지하1층 (압구정동)",06008,135-902,203470.848439305,447369.579851952,37.528760781941436,127.04007145995863
알리바바 쏙쏙김밥 종로타워점,서울특별시 종로구 종로2가 6번지 종로타워 ,"서울특별시 종로구 종로 51, 종로타워 지하2층 B201호 (종로2가)",03161,110122,198504.772723631,452018.161511911,37.57065423303189,126.9838725441821
청춘일번지,서울특별시 종로구 낙원동 198 금강빌딩,"서울특별시 종로구 수표로 108, 금강빌딩 지하1층 (낙원동)",03139,110-320,199004.15226816,452067.89327956,37.57110303711975,126.98952594826359
밀카페 우프,서울특별시 마포구 창전동 444 서강쌍용예가,"서울특별시 마포구 독막로 147-7, 서강쌍용예가 104호 (창전동)",04069,121-892,193694.991688366,449568.977982811,37.54856445292138,126.92944212659131
꾸브라꼬 숯불두마리치킨 미아점,서울특별시 강북구 미아동 323-48 다원힐스빌,"서울특별시 강북구 도봉로29길 25-2, 1층 101호 (미아동, 다원힐스빌)",01177,142-815,202291.931915579,457551.158252876,37.62050975808597,127.02676425945494
라사천마라탕 대림점,서울특별시 영등포구 대림동 864-32 대성빌딩,"서울특별시 영등포구 디지털로 398, 대성빌딩 1층 104호 (대림동)",07438,150-818,191366.751314427,443325.375451909,37.49228460397064,126.90316528545974
주식회사 해담채여의도,서울특별시 영등포구 여의도동 16-2 중소기업중앙회,"서울특별시 영등포구 은행로 30, 중소기업중앙회 신관1층 110호 (여의도동)",07242,150-740,193099.563598351,447330.445753577,37.528388867428006,126.92272432057956
남영동 양문 성수역점,서울특별시 성동구 성수동2가 325-2 서울숲한라시그마벨리,"서울특별시 성동구 성수이로 51, 1층 103A,103B호 (성수동2가)",04781,133-827,204798.346778805,448669.043360044,37.540464257260176,127.05510013246898
제육의 법칙,서울특별시 강남구 논현동 123-1,"서울특별시 강남구 학동로6길 3, 지상1층 (논현동)",06111,135-822,202029.487578948,445468.455827297,37.51163406172512,127.02375770834686
브로콜리,서울특별시 성북구 장위동 214-30 1층,"서울특별시 성북구 돌곶이로39길 9, 1층 (장위동)",02754,136-833,204085.559692594,457245.242612465,37.6177469807522,127.04708174331567
해월,서울특별시 영등포구 문래동2가 14-12,"서울특별시 영등포구 도림로 439-1, 1층 (문래동2가)",07290,150-092,190561.856890846,445794.808189556,37.514528800529455,126.89403094327878
고기주방,서울특별시 영등포구 당산동6가 311-1 유니언타운,"서울특별시 영등포구 당산로 241, 유니언타운 1층 101호 (당산동6가)",07222,150-809,191308.21419306,448106.7377888,37.535368868484376,126.90244675741032
만석계,서울특별시 송파구 문정동 620 송파 푸르지오시티,"서울특별시 송파구 새말로 62, 송파 푸르지오시티 상가 1층 142호 (문정동)",05841,138-888,210654.50616628,442070.575741668,37.48095646913998,127.12127521999086
카페 아이엠티 시청2청사점,서울특별시 중구 서소문동 85-3 1층 101-2호,"서울특별시 중구 서소문로 124, 1층 101-2호 (서소문동)",04514,100-814,197739.803508714,451200.496953953,37.563284761745386,126.9752148547746
시올돈 왕십리점,서울특별시 성동구 행당동 268 왕십리가축병원,"서울특별시 성동구 왕십리로 295, 1층 (행당동)",04744,133-867,203087.666475672,450905.750645406,37.56062642220238,127.03575076115706
노모어피자 왕십리점,서울특별시 성동구 상왕십리동 811 텐즈힐,"서울특별시 성동구 마장로 137, 221동 1층 1109호 (상왕십리동, 텐즈힐)",04700,133-010,202113.869605464,451897.581865192,37.56956648780478,127.02473075246819
길포차,서울특별시 마포구 공덕동 115-25,"서울특별시 마포구 만리재로 80-4, 지1층 (공덕동)",04185,121-801,196289.357770092,449495.198792649,37.54791372561607,126.95880461550264
오르조르브텀 여의도(orzo le beau temps),서울특별시 영등포구 여의도동 43 미원빌딩,"서울특별시 영등포구 국제금융로 70, 미원빌딩 1층 109호 (여의도동)",07333,150-733,193798.948251805,446579.652565611,37.52162845077963,126.93064390833791
야키토리잔잔 마곡점,서울특별시 강서구 마곡동 795-6 뉴골든타워,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 1층 104-1,105-1,105-2호 (마곡동)",07803,157-210,185554.299381324,450891.312361248,37.56038826254319,126.8372828392985
홍미집 신림직영점,서울특별시 관악구 신림동 1641-10,"서울특별시 관악구 신림로 322-1, 1층 (신림동)",08777,151-930,193748.074171906,442333.077344404,37.48336215533226,126.93010443022935
일미락본점,서울특별시 양천구 목동 406-74 1층,"서울특별시 양천구 목동동로 226-15, 1층 (목동)",08000,158-806,188702.723254513,447041.496007197,37.52574178694364,126.87298036378375
족발 참 잘하는 집,서울특별시 도봉구 창동 10 105호,"서울특별시 도봉구 노해로69길 15-15, 1층 105호 (창동)",01414,132-898,204335.057042232,461157.210858518,37.652995863091036,127.04993128469539
지코바 불광점,서울특별시 은평구 불광동 168-1 1층,"서울특별시 은평구 불광로 197, 1층 (불광동)",03346,122-852,193726.434038633,457937.684519889,37.62397413599063,126.92972631623147
무탈(MUTAL),서울특별시 강남구 신사동 663-3,"서울특별시 강남구 압구정로50길 27, 지상2층 201호 (신사동)",06018,135-897,203277.439911786,447140.64809885,37.526698589586836,127.03788208802264
수성,서울특별시 강서구 마곡동 776-2 외 1필지 마곡센트럴대방디엠시티오피스텔 (지상 2층) 205-1호,"서울특별시 강서구 양천로 344, 2층 205-1호 (마곡동, 가양 1동 마곡센트럴대방디엠시티오피스텔)",07791,157-210,185827.239418328,451790.699502971,37.56849678110617,126.84035497462908
정글,서울특별시 종로구 익선동 123-2,"서울특별시 종로구 삼일대로30길 46, 2층 (익선동)",03133,110-340,199063.924702653,452436.026382605,37.57442031566532,126.99020216550075
207다이닝,서울특별시 성동구 성수동1가 656-659,"서울특별시 성동구 성수일로1길 12-12, 지1층 (성수동1가)",04779,133-823,204131.349876147,448874.05497367,37.542314838075825,127.04755326793031
마초갈비,서울특별시 영등포구 여의도동 14-21,"서울특별시 영등포구 국회대로 780, 1층 112호 (여의도동, 엘지여의도에클라트)",07237,150-871,192785.997964211,447523.1165117,37.53012261946687,126.91917456212254
태양,서울특별시 강동구 암사동 501-20,"서울특별시 강동구 올림픽로 778-7, 1층 104호 (암사동)",05264,134-859,211260.620620263,449814.244258699,37.55072731659704,127.1282474198907
소담옥,서울특별시 마포구 신공덕동 14-15,"서울특별시 마포구 만리재옛길 12-1, 1층 (신공덕동)",04209,121-851,195943.294277932,449220.109768241,37.545433453912885,126.9548895454901
TARTAN HOUSE 타탄하우스,서울특별시 성동구 금호동3가 412,"서울특별시 성동구 독서당로 295-1, 3층 (금호동3가)",04730,133-805,201871.482216012,449569.540265379,37.54858918113829,127.02198078783623
82키친푸드2,서울특별시 성동구 홍익동 278-19,"서울특별시 성동구 무학로6길 33, 2층 201호 (홍익동)",04708,133-880,202916.027331497,451424.06305151,37.56529745709981,127.03380995725924
장수상회,서울특별시 강남구 역삼동 643-14,"서울특별시 강남구 테헤란로25길 15-10, 지하1층 (역삼동)",06131,135-910,202979.930975018,444398.595688544,37.501990958608516,127.03450485580547
스타벅스종로R,서울특별시 종로구 종로2가 6 종로타워,"서울특별시 종로구 종로 51, 종로타워 1~2층 101,2층전체호 (종로2가)",03161,110-122,198504.772723631,452018.161511911,37.57065423303189,126.9838725441821
국수미가 가락점,서울특별시 송파구 가락동 70 영남빌딩,"서울특별시 송파구 중대로9길 53, 영남빌딩 1층 105호 (가락동)",05707,138-802,210494.082619505,443942.516227487,37.497826402233265,127.1194879294232
동궈샤오휘양 샤브,서울특별시 영등포구 대림동 713-7 지상2층,"서울특별시 영등포구 도림로39길 21 (대림동, 지상2층)",07415,150-814,190903.853517666,443606.064176681,37.49480945365977,126.89792684271764
화양회관,서울특별시 광진구 화양동 41-8,"서울특별시 광진구 동일로 146, 1층 (화양동)",05014,143-917,205769.819136098,449232.720673673,37.54553796084714,127.06609815061374
피드백(FEEDBACK),서울특별시 송파구 석촌동 173-8,"서울특별시 송파구 백제고분로 349, 가동 1층 6,7호 (석촌동)",05615,138-844,209206.590522133,444711.630583279,37.50477063032456,127.10493605993949
계동치킨,서울특별시 마포구 노고산동 54-7,"서울특별시 마포구 신촌로12가길 34 (노고산동, 1층 일부)",04057,121-807,194129.555185656,450337.716045667,37.55549437524603,126.9343542112428
멜팅소울,서울특별시 중구 소공동 1 롯데백화점 본점,"서울특별시 중구 남대문로 81, 롯데백화점 본점 지하1층 (소공동)",04533,100-070,198259.65357739,451392.198218657,37.565013296436454,126.98109903810682
주식회사 호랑이 도삭면 광화문,서울특별시 종로구 청진동 179-1 지상1층,"서울특별시 종로구 종로3길 24-17 (청진동,지상1층)",03156,110-130,198140.011322724,452161.804408159,37.571947922807205,126.97974271914653
일미락본점,서울특별시 양천구 목동 406-126 1층,"서울특별시 양천구 목동동로 226-16, 1층 (목동)",08000,158-806,188700.841100582,447028.184755201,37.52562181668496,126.8729592734551
둘둘치킨(신풍?대림),서울특별시 영등포구 대림동 700-1 기영빌딩,"서울특별시 영등포구 대림로 154, 기영빌딩 1층 110호 (대림동)",07422,150-814,191124.182011873,443626.294389029,37.494993892020034,126.9004184072794
펀비어킹,서울특별시 관악구 신림동 1434-20 늘푸른빌딩,"서울특별시 관악구 신림동5길 48, 늘푸른빌딩 지하1층 (신림동)",08760,151-892,193523.257012005,442547.831578485,37.485295766307964,126.92756035405709
타키,"서울특별시 구로구 신도림동 338 푸르지오2차(경인로244) 1층 106,107호","서울특별시 구로구 경인로67길 23, 106,107호 (신도림동,푸르지오2차(경인로244) 1층)",08208,152-887,190156.399992266,445369.517787461,37.51069227823932,126.88944991074304
이모네포차,서울특별시 강동구 암사동 464-3,서울특별시 강동구 고덕로10길 53 (암사동),05251,134-857,211386.535371617,450013.089760544,37.552517551518655,127.129675601823
토담,서울특별시 노원구 중계동 359-1 중계5단지주공아파트,"서울특별시 노원구 중계로 230, 주공5단지2상가 202호 (중계동, 중계5단지주공아파트)",01713,139-860,206630.714120071,461164.120761815,37.65304442190022,127.07594911532297
제주청량해장 가산점,서울특별시 금천구 가산동 371-28 우림라이온스밸리,"서울특별시 금천구 가산디지털1로 168, 우림라이온스밸리 A동 지상2층 203 일부호 (가산동)",08507,153-776,189538.020935968,441982.427934953,37.480164365772715,126.88250301715956
참살이청국장,서울특별시 서초구 서초동 1599-11 지하1층5호,"서울특별시 서초구 서초중앙로 63 (서초동,지하1층5호)",06651,137-876,201208.493843332,442790.939502082,37.48750833274396,127.0144661710759
사계절,서울특별시 송파구 잠실동 176-2 잠실동 렉스빌2차,"서울특별시 송파구 백제고분로7길 3-10, 잠실동 렉스빌2차 지하1층 101-10호 (잠실동)",05556,138-861,206941.757489986,445412.933180995,37.511109876784246,127.07932510116193
먹골풍천민물장어,서울특별시 중랑구 묵동 181-8,서울특별시 중랑구 동일로 858 (묵동),02045,131-849,206882.379857079,456078.709603397,37.60721885304879,127.07875348585786
산시면가,서울특별시 성북구 안암동5가 104-16,서울특별시 성북구 안암로 91 (안암동5가),02856,136-075,202634.210876953,453543.594400366,37.58439721241552,127.0306273611668
모모스,서울특별시 강동구 성내동 12-38,"서울특별시 강동구 천호옛14길 23-4, 1층 (성내동)",05379,134-840,211152.999198771,448231.961539489,37.53647077499143,127.12700532881284
길투당구클럽,서울특별시 강동구 성내동 12-3 성내프라자,"서울특별시 강동구 천호옛14길 37, 성내프라자 2층 (성내동)",05379,134-840,211211.205407847,448209.639267106,37.536268924435085,127.12766363755216
여탕매점,서울특별시 강동구 성내동 428-2 파크프라자,"서울특별시 강동구 양재대로89길 16, 지1층 B101호 (성내동, 파크프라자)",05404,134-890,211838.35431041,447195.676766748,37.52712431968655,127.13474396450235
Null Pub(널펍),서울특별시 구로구 가리봉동 136-95,"서울특별시 구로구 남부순환로105가길 20, 지하1층 (가리봉동)",08395,152-801,190455.056884776,441953.169448475,37.47991064298213,126.8928726009465
상아김밤 마포점,서울특별시 마포구 공덕동 476 공덕파크자이,"서울특별시 마포구 백범로 152, 201동 1층 11호 (공덕동, 공덕파크자이)",04148,121-805,195331.885613245,449180.427006045,37.545072981479116,126.94797038060094
호디박스앤해피토스트,서울특별시 구로구 구로동 222-3 제이앤케이디지털타워,"서울특별시 구로구 디지털로26길 111, 제이앤케이디지털타워 지하1층 B011호 (구로동)",08390,152-848,190822.851419439,442253.132895893,37.48261735091581,126.89702761439843
더쿠네 오리바베큐 금천점,서울특별시 금천구 독산동 1032-4,"서울특별시 금천구 범안로 1238, 1층 2호 (독산동)",08616,153-830,191019.290181748,440466.93700543,37.46652378035461,126.89927065601407
소팔소곱창 독산점,서울특별시 금천구 독산동 291-1 현대지식산업센터,"서울특별시 금천구 두산로 70, 현대지식산업센터 지하1층 T-L 132호 (독산동)",08584,153-813,190694.880295092,440764.426277932,37.469201265849954,126.89559936395801
해탄(신촌점),서울특별시 서대문구 창천동 13-42 (지상1층),"서울특별시 서대문구 연세로4길 30 (창천동,(지상1층))",03777,120-833,194496.646443395,450584.519684484,37.55772057160508,126.93850735253962
