name,category,city,district,parcelAddress,roadAddress,roadPostal,districtPostal,latitude,longitude,xCoordinate,yCoordinate
카페 채그로,경양식,서울특별시,마포구,서울특별시 마포구 마포동 388-5 아리수 빌딩,"서울특별시 마포구 마포대로4다길 31, 아리수 빌딩 6층 602호 (마포동)",4178,121-050,37.53589023134240,126.94435752657200,195012.036013351,448161.548233627
동네포차,호프/통닭,서울특별시,광진구,서울특별시 광진구 구의동 559-8 힐그린빌1 지하 B03호,"서울특별시 광진구 영화사로13길 4, B03호 (구의동, 힐그린빌1 지하)",4948,143-830,37.55489788234710,127.0940252223380,208236.45751405,450273.528942316
401(사백일),한식,서울특별시,마포구,서울특별시 마포구 서교동 395-17 예랑빌딩 1층,"서울특별시 마포구 잔다리로 23, 1층 (서교동, 예랑빌딩)",4043,121-840,37.55093548930230,126.92020138624100,192878.727777422,449832.766256945
피 포차장 (P 포차장),한식,서울특별시,서초구,서울특별시 서초구 양재동 80-13 1층 102호,"서울특별시 서초구 양재천로21길 7, 1층 102호 (양재동)",6748,137-890,37.47614612878310,127.0391805481740,203394.49,441530.625
마롱,한식,서울특별시,강남구,서울특별시 강남구 역삼동 677-21,"서울특별시 강남구 테헤란로33길 6-5, 지하1층 (역삼동)",6142,135-915,37.50274815692220,127.03988830092600,203455.86,444482.81
영동불백,한식,서울특별시,강남구,서울특별시 강남구 역삼동 832-33 성우스타하우스오피스텔 B03호,"서울특별시 강남구 역삼로4길 16, B03호 (역삼동, 성우스타하우스오피스텔)",6252,135-936,37.492603874009800,127.03203905378800,202762.268960113,443356.78768548
심야식당 호랑이,기타,서울특별시,성북구,서울특별시 성북구 안암동5가 103-36,"서울특별시 성북구 고려대로26길 38, 지상1층 (안암동5가)",2856,136-075,37.584774384939200,127.02988696145200,202568.809328353,453585.431277888
불닭발동대문엽기떡볶이방학점,분식,서울특별시,도봉구,서울특별시 도봉구 방학동 671-18 지상1층,"서울특별시 도봉구 도당로 46, 지상1층 (방학동)",1389,132-849,37.66229911154610,127.03500446931200,203017.62559825,462189.082846917
종로 스테이크 더 안심,경양식,서울특별시,종로구,서울특별시 종로구 익선동 137-2번지,"서울특별시 종로구 삼일대로30길 28, 1층 (익선동)",3133,110340,37.57429170883640,126.98922526067200,198977.635837313,452421.764220421
화사랑,호프/통닭,서울특별시,강서구,서울특별시 강서구 방화동 598-72 (지상 1층)2동,"서울특별시 강서구 금낭화로 22, 1층 (방화동, 2동)",7615,157-851,37.567416617646100,126.81192813307000,183315.937969214,451675.493756229
라그릴리아 광화문점,경양식,서울특별시,종로구,서울특별시 종로구 서린동 149 청계11빌딩 2층,"서울특별시 종로구 청계천로 11, 2층 (서린동, 청계11빌딩)",3187,110-726,37.56969488537360,126.97880587568000,198057.201456751,451911.789172214
